GIT_URLS,Status,Actual_URLS_AFTER_Analysis,Start_time,End_time
https://github.com/apache/servicemix,Graduated,,12/1/05,9/19/07
https://github.com/apache/shardingsphere,Graduated,,1/13/20,4/16/20
https://github.com/apache/shindig,Retired,,12/3/07,1/21/10
https://github.com/apache/shiro,Graduated,,5/20/08,9/22/10
https://github.com/apache/singa,Graduated,,3/17/15,10/16/19
https://github.com/apache/sis,Graduated,,2/21/10,9/19/12
https://github.com/apache/skywalking,Graduated,,12/8/17,4/17/19
https://github.com/apache/sling,Graduated,,9/9/07,6/17/09
https://github.com/apache/solr,Graduated,,1/17/06,1/17/07
https://github.com/apache/spamassassin,Graduated,,12/20/03,6/23/04
https://github.com/apache/spark,Graduated,,6/19/13,2/19/14
https://github.com/apache/sqoop,Retired,,6/13/11,3/21/12
https://github.com/apache/stanbol,Retired,,11/15/10,9/19/12
https://github.com/apache/stdcxx,Retired,,5/19/05,11/14/07
https://github.com/apache/storm,Graduated,,9/18/13,9/17/14
https://github.com/apache/stratos,Retired,,6/20/13,5/21/14
https://github.com/apache/streams,Graduated,,11/20/12,7/19/17
https://github.com/apache/subversion,Graduated,,11/7/09,2/17/10
https://github.com/apache/superset,Graduated,,5/21/17,11/19/20
https://github.com/apache/synapse,Graduated,,8/22/05,1/2/07
https://github.com/apache/syncope,Graduated,,2/10/12,11/21/12
https://github.com/apache/systemml,Graduated,,11/2/15,5/18/17
https://github.com/apache/tajo,Retired,,3/7/13,4/1/14
https://github.com/apache/tez,Graduated,,2/24/13,7/16/14
https://github.com/apache/thrift,Graduated,,4/18/08,10/20/10
https://github.com/apache/tika,Graduated,,3/22/07,10/28/08
https://github.com/apache/tinkerpop,Graduated,,1/16/15,5/23/16
https://github.com/apache/trafodion,Graduated,,5/24/15,12/20/17
https://github.com/apache/tvm,Graduated,,,11/18/20
https://github.com/apache/twill,Retired,,11/14/13,6/15/16
https://github.com/apache/unomi,Graduated,,10/5/15,2/20/19
https://github.com/apache/usergrid,Graduated,,10/3/13,8/19/15
https://github.com/apache/vcl,Graduated,,10/6/08,6/20/12
https://github.com/apache/vxquery,Retired,,7/6/09,7/16/14
https://github.com/apache/whirr,Retired,,5/11/10,8/17/11
https://github.com/apache/wicket,Graduated,,8/28/06,6/20/07
https://github.com/apache/wink,Retired,,5/27/09,12/19/12
https://github.com/apache/wookie,Retired,,7/17/09,11/22/12
https://github.com/apache/xmlbeans,Graduated,,7/30/03,6/23/04
https://github.com/apache/zeppelin,Graduated,,12/23/14,5/18/16
https://github.com/apache/amber,Retired,,5/9/10,1/16/13
https://github.com/apache/apex,Retired,,8/17/15,4/20/16
https://github.com/apache/apollo,No_info,,11/8/04,6/3/05
https://github.com/apache/batchee,Graduated,https://github.com/apache/geronimo,10/3/13,12/10/19
https://github.com/apache/bean validation,Graduated,https://github.com/apache/bval,3/1/10,2/15/12
https://github.com/apache/beehive,Retired,,5/21/04,7/18/05
https://github.com/apache/commonsrdf,Graduated,https://github.com/apache/commons-rdf,3/6/15,11/28/16
https://github.com/apache/devicemap,Retired,,1/3/12,11/19/14
https://github.com/apache/directory,Graduated,https://github.com/apache/directory-server,10/23/03,2/23/05
https://github.com/apache/easyant,Graduated,https://github.com/apache/ant-easyant-core,1/31/11,3/12/13
https://github.com/apache/flex,Graduated,https://github.com/apache/flex-sdk,12/30/11,12/19/12
https://github.com/apache/guacamole,Graduated,https://github.com/apache/guacamole-server,2/10/16,11/15/17
https://github.com/apache/hermes,No_info,,11/8/04,6/3/05
https://github.com/apache/httpd-cli,Graduated,https://github.com/apache/httpd,7/15/04,12/16/04
https://github.com/apache/ibatis,Retired,,8/16/04,4/27/05
https://github.com/apache/ivy,Graduated,https://github.com/apache/ant-ivy,10/23/06,10/11/07
https://github.com/apache/jaxme,No_info,,9/15/03,3/17/04
https://github.com/apache/jdo,Graduated,https://github.com/apache/db-jdo,5/18/05,12/9/05
https://github.com/apache/log4cxx2,Graduated,https://github.com/apache/logging-log4cxx,12/9/13,3/16/17
https://github.com/apache/log4net,Graduated,https://github.com/apache/logging-log4net,1/15/04,2/21/07
https://github.com/apache/log4php,Graduated,https://github.com/apache/logging-log4php,1/31/04,3/7/10
https://github.com/apache/merlindeveloper,No_info,,1/15/04,1/15/04
https://github.com/apache/mod_ftp,No_info,,8/6/05,2/21/07
https://github.com/apache/muse,No_info,,11/8/04,6/3/05
https://github.com/apache/mynewt,Graduated,https://github.com/apache/mynewt-core,10/20/15,6/21/17
https://github.com/apache/ognl,Graduated,https://github.com/apache/commons-ognl,4/26/11,8/30/11
https://github.com/apache/olingo,Graduated,https://github.com/apache/olingo-odata4,7/8/13,3/19/14
https://github.com/apache/omid,Graduated,https://github.com/apache/phoenix-omid,3/28/16,11/15/19
https://github.com/apache/open climate workbench,Retired,,2/15/13,2/19/14
https://github.com/apache/openoffice.org,Graduated,https://github.com/apache/openoffice,6/13/11,10/17/12
https://github.com/apache/parquet,Graduated,https://github.com/apache/parquet-mr,5/20/14,4/22/15
https://github.com/apache/rat,Graduated,https://github.com/apache/creadur-rat,1/6/08,4/18/12
https://github.com/apache/river,Graduated,https://github.com/apache/river-container,12/26/06,1/19/11
https://github.com/apache/servicecomb,Confusion,,11/22/17,10/17/18
https://github.com/apache/tapestry,Graduated,https://github.com/apache/tapestry-5,4/1/03,5/29/03
https://github.com/apache/tephra,Graduated,https://github.com/apache/phoenix-tephra,3/7/16,11/15/19
https://github.com/apache/tobago,Graduated,https://github.com/apache/myfaces-tobago,10/27/05,3/23/06
https://github.com/apache/traffic control,Graduated,https://github.com/apache/trafficcontrol,7/12/16,5/16/18
https://github.com/apache/traffic server,Graduated,https://github.com/apache/trafficserver,7/13/09,4/21/10
https://github.com/apache/trinidad,Graduated,https://github.com/apache/myfaces-trinidad,3/8/06,4/22/07
https://github.com/apache/tuscany,Retired,,12/7/05,5/21/08
https://github.com/apache/uima,Graduated,https://github.com/apache/uima-uimaj,10/23/06,3/18/10
https://github.com/apache/webwork 2,Graduated,https://github.com/apache/struts,1/15/06,5/24/06
https://github.com/apache/woden,Empty_Repo,https://github.com/apache/ws-woden,3/24/05,12/8/07
